"filenames","NN_Pred_Median","Lower_Quantile_0.025","Upper_Quantile_0.975"
"SABL_COMBO2022_NIR0022B_PRD_176_102188456_O1",6.985,5.313,8.9312
"SABL_COMBO2022_NIR0022B_PRD_177_102188457_O1",31.0268,27.165,35.7262
"SABL_COMBO2022_NIR0022B_PRD_178_102188458_O1",3.3262,2.7168,4.2695
"SABL_COMBO2022_NIR0022B_PRD_179_102188459_O1",8.8577,7.4166,10.2794
"SABL_COMBO2022_NIR0022B_PRD_180_102188460_O1",6.1202,5.0433,7.1878
"SABL_COMBO2022_NIR0022C_PRD_181_102188461_O1",2.2631,1.9439,2.6535
"SABL_COMBO2022_NIR0022C_PRD_184_102188464_O1",18.6293,16.4616,21.5892
"SABL_COMBO2022_NIR0022C_PRD_185_102188465_O1",47.8993,42.701,53.3914
"SABL_COMBO2022_NIR0022C_PRD_186_102188466_O1",57.4603,51.6739,62.6777
"SABL_COMBO2022_NIR0022C_PRD_187_102188467_O1",8.3707,6.826,9.8567
"SABL_COMBO2022_NIR0022C_PRD_188_102188468_O1",14.4913,11.7792,18.1547
"SABL_COMBO2022_NIR0022C_PRD_190_102188470_O1",8.3373,6.139,10.4075
"SABL_COMBO2022_NIR0022C_PRD_192_102188472_O1",9.3807,7.8332,10.8529
"SABL_COMBO2022_NIR0022C_PRD_193_102188473_O1",5.8112,4.5566,6.7061
"SABL_COMBO2022_NIR0022C_PRD_194_102188474_O1",7.2053,6.0965,8.3746
"SABL_COMBO2022_NIR0022C_PRD_195_102188475_O1",9.2148,5.8307,11.7731
"SABL_COMBO2022_NIR0022C_PRD_196_102188476_O1",0.9757,0.5864,1.1909
"SABL_COMBO2022_NIR0022C_PRD_197_102188477_O1",0.8532,0.3749,1.0981
"SABL_COMBO2022_NIR0022C_PRD_198_102188478_O1",0.9591,0.6014,1.2516
"SABL_COMBO2022_NIR0022C_PRD_199_102188479_O1",0.9122,0.5962,1.1258
"SABL_COMBO2022_NIR0022C_PRD_200_102188480_O1",2.0105,1.6993,2.3169
"SABL_COMBO2022_NIR0022C_PRD_201_102188481_O1",0.8077,0.4566,1.0106
"SABL_COMBO2022_NIR0022C_PRD_202_102188482_O1",0.6693,0.262,0.9012
"SABL_COMBO2022_NIR0022C_PRD_203_102188483_O1",0.9479,0.2925,1.3039
"SABL_COMBO2022_NIR0022C_PRD_204_102188484_O1",0.8063,0.2479,1.047
"SABL_COMBO2022_NIR0022C_PRD_206_102188486_O1",0.7741,0.3768,1.0078
"SABL_COMBO2022_NIR0022C_PRD_207_102188487_O1",0.7418,0.4365,0.9695
"SABL_COMBO2022_NIR0022C_PRD_208_102188488_O1",1.0442,0.7473,1.2685
"SABL_COMBO2022_NIR0022C_PRD_209_102188489_O1",0.7078,0.3876,0.8884
"SABL_COMBO2022_NIR0022C_PRD_210_102188490_O1",0.6244,0.1806,0.8464
"SABL_COMBO2022_NIR0022C_PRD_211_102188491_O1",8.0258,6.6787,9.5702
"SABL_COMBO2022_NIR0022C_PRD_212_102188492_O1",2.2931,1.9498,2.6779
"SABL_COMBO2022_NIR0022C_PRD_213_102188493_O1",5.6457,4.7483,6.4306
"SABL_COMBO2022_NIR0022C_PRD_214_102188494_O1",6.0768,5.2563,7.2515
"SABL_COMBO2022_NIR0022C_PRD_215_102188495_O1",4.8326,3.7459,6.2039
"SABL_COMBO2022_NIR0022C_PRD_216_102188496_O1",1.5971,1.3267,1.8367
"SABL_COMBO2022_NIR0022C_PRD_217_102188497_O1",3.0679,2.4357,3.8921
"SABL_COMBO2022_NIR0022C_PRD_218_102188498_O1",2.19,1.8815,2.5476
"SABL_COMBO2022_NIR0022C_PRD_219_102188499_O1",2.4485,2.1006,2.8364
"SABL_COMBO2022_NIR0022C_PRD_220_102188500_O1",1.0388,0.814,1.2398
"SABL_COMBO2022_NIR0022C_PRD_221_102188501_O1",14.0845,12.1895,16.3634
"SABL_COMBO2022_NIR0022C_PRD_222_102188502_O1",2.0271,1.7564,2.3541
"SABL_COMBO2022_NIR0022C_PRD_223_102188503_O1",1.8282,1.5222,2.109
"SABL_COMBO2022_NIR0022C_PRD_224_102188504_O1",2.0353,1.6859,2.4021
"SABL_COMBO2022_NIR0022C_PRD_225_102188505_O1",9.2512,7.9061,11.0595
"SABL_COMBO2022_NIR0022C_PRD_226_102188506_O1",0.7831,0.3113,1.012
"SABL_COMBO2022_NIR0022C_PRD_227_102188507_O1",0.7216,0.427,0.9126
"SABL_COMBO2022_NIR0022C_PRD_228_102188508_O1",11.269,9.3603,13.0434
"SABL_COMBO2022_NIR0022C_PRD_229_102188509_O1",2.0366,1.7109,2.3589
"SABL_COMBO2022_NIR0022C_PRD_230_102188510_O1",3.586,2.8561,4.8294
"SABL_COMBO2022_NIR0022C_PRD_231_102188511_O1",7.8439,6.2779,9.3097
"SABL_COMBO2022_NIR0022C_PRD_232_102188512_O1",5.7942,4.2974,6.9115
"SABL_COMBO2022_NIR0022C_PRD_233_102188513_O1",3.0774,2.4864,4.1187
"SABL_COMBO2022_NIR0022C_PRD_234_102188514_O1",65.2418,56.0167,70.204
"SABL_COMBO2022_NIR0022C_PRD_235_102188515_O1",56.4229,50.1137,67.1926
"SABL_COMBO2022_NIR0022C_PRD_236_102188516_O1",11.3359,9.6399,13.3148
"SABL_COMBO2022_NIR0022C_PRD_237_102188517_O1",20.6682,17.7337,23.6885
"SABL_COMBO2022_NIR0022C_PRD_238_102188518_O1",9.9861,8.5241,11.7171
"SABL_COMBO2022_NIR0022C_PRD_239_102188519_O1",5.4494,4.6465,6.429
"SABL_COMBO2022_NIR0022C_PRD_240_102188520_O1",23.7361,20.8024,27.3755
"SABL_COMBO2022_NIR0022C_PRD_241_102188521_O1",7.1009,6.0576,8.4026
"SABL_COMBO2022_NIR0022C_PRD_242_102188522_O1",2.3345,2.0343,2.9212
"SABL_COMBO2022_NIR0022C_PRD_243_102188523_O1",1.6463,1.3358,2.03
"SABL_COMBO2022_NIR0022C_PRD_244_102188524_O1",4.958,3.8219,5.969
"SABL_COMBO2022_NIR0022C_PRD_245_102188525_O1",2.1235,1.7493,2.5957
"SABL_COMBO2022_NIR0022C_PRD_246_102188526_O1",1.5306,1.0473,1.8175
"SABL_COMBO2022_NIR0022C_PRD_247_102188527_O1",1.7009,1.3039,2.0791
"SABL_COMBO2022_NIR0022C_PRD_248_102188528_O1",1.6297,1.3646,2.0802
"SABL_COMBO2022_NIR0022C_PRD_249_102188529_O1",1.6912,0.8671,2.1737
"SABL_COMBO2022_NIR0022C_PRD_250_102188530_O1",1.6508,1.3707,1.9148
"SABL_COMBO2022_NIR0022C_PRD_251_102188531_O1",2.5038,2.0487,3.2635
"SABL_COMBO2022_NIR0022C_PRD_252_102188532_O1",2.2186,1.9013,2.6027
"SABL_COMBO2022_NIR0022C_PRD_253_102188533_O1",2.0232,1.7387,2.4273
"SABL_COMBO2022_NIR0022C_PRD_254_102188534_O1",0.7083,0.3545,0.9085
"SABL_COMBO2022_NIR0022C_PRD_255_102188535_O1",1.1115,0.8729,1.3303
"SABL_COMBO2022_NIR0022C_PRD_257_102188537_O1",0.8326,0.5389,1.0233
"SABL_COMBO2022_NIR0022C_PRD_258_102188538_O1",1.0915,0.855,1.3205
"SABL_COMBO2022_NIR0022C_PRD_259_102188539_O1",1.2741,1.0188,1.6969
"SABL_COMBO2022_NIR0022C_PRD_260_102188540_O1",1.0868,0.8621,1.34
"SABL_COMBO2022_NIR0022C_PRD_261_102188541_O1",5.8746,5.1288,6.7363
"SABL_COMBO2022_NIR0022C_PRD_262_102188542_O1",5.327,4.4482,6.3006
"SABL_COMBO2022_NIR0022C_PRD_263_102188543_O1",7.0847,5.819,8.208
"SABL_COMBO2022_NIR0022C_PRD_264_102188544_O1",9.3682,6.9743,11.9414
"SABL_COMBO2022_NIR0022C_PRD_265_102188545_O1",0.9432,0.6709,1.1432
"SABL_COMBO2022_NIR0022C_PRD_266_102188546_O1",0.9094,0.6622,1.1701
"SABL_COMBO2022_NIR0022C_PRD_267_102188547_O1",1.1812,0.9302,1.411
"SABL_COMBO2022_NIR0022C_PRD_268_102188548_O1",1.1226,0.8784,1.3471
"SABL_COMBO2022_NIR0022C_PRD_269_102188549_O1",2.1671,1.8518,2.5833
"SABL_COMBO2022_NIR0022C_PRD_270_102188550_O1",1.145,0.6971,1.439
